id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
6535,1786947902.67136,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6536,1786947902.67136,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6537,1786948202.7962003,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6538,1786948202.9411414,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6539,1786948203.3661842,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6540,1786948203.3661842,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6541,1786948203.3661842,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6542,1786948203.3661842,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6543,1786948203.3661842,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6544,1786948203.3775134,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6545,1786948202.7961972,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6546,1786948202.7961972,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6547,1786948502.2432008,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6548,1786948502.2810152,ollama_cloud,,0.34031327313751913,zai_amortized,0,0.7,293846899,100.0,0.0,
6549,1786948502.5313797,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6550,1786948502.5313797,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6551,1786948502.5313797,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6552,1786948502.5313797,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6553,1786948502.5313797,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6554,1786948502.5332577,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6555,1786948502.2431974,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6556,1786948502.2431974,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6557,1786948802.7033322,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6558,1786948802.728455,ollama_cloud,,0.34031327313751913,zai_amortized,0,0.7,293846899,100.0,0.0,
6559,1786948802.965419,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6560,1786948802.965419,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6561,1786948802.965419,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6562,1786948802.965419,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6563,1786948802.965419,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6564,1786948802.9674995,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6565,1786948802.7033293,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6566,1786948802.7033293,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6567,1786949102.3601153,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6568,1786949102.393851,ollama_cloud,,0.34031327313751913,zai_amortized,0,0.7,293846899,100.0,0.0,
6569,1786949102.6413202,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6570,1786949102.6413202,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6571,1786949102.6413202,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6572,1786949102.6413202,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6573,1786949102.6413202,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6574,1786949102.6432924,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6575,1786949102.3601115,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6576,1786949102.3601115,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6577,1786949402.7367842,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6578,1786949402.7607262,ollama_cloud,,0.34031327313751913,zai_amortized,0,0.7,293846899,100.0,0.0,
6579,1786949403.0050294,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
