id,ts,provider,response_received,response_valid,latency_ms,error_type,billed_tokens,actual_tokens,token_mismatch,model
183,2026-08-14T12:44:00.593075+00:00,friend,1,1,8314,none,123,0,0,glm-5.3
184,2026-08-14T12:44:03.816216+00:00,friend,1,1,21408,none,1403,38,1,glm-5.3
185,2026-08-14T12:44:12.554493+00:00,friend,1,1,8230,none,190,18,1,glm-5.3
186,2026-08-14T12:44:19.520579+00:00,friend,1,1,18651,none,900,30,1,glm-5.3
187,2026-08-14T12:44:22.386316+00:00,friend,1,1,9565,none,420,20,1,glm-5.3
188,2026-08-14T12:44:29.503312+00:00,friend,1,1,6671,none,171,0,0,glm-5.3
189,2026-08-14T12:44:39.741585+00:00,friend,1,1,9694,none,423,0,0,glm-5.3
190,2026-08-14T12:44:40.397603+00:00,friend,1,1,18252,none,674,46,1,glm-5.3
191,2026-08-14T12:44:51.412736+00:00,friend,1,1,11125,none,554,0,0,glm-5.3
192,2026-08-14T12:44:54.125026+00:00,friend,1,1,9244,none,156,0,0,glm-5.3
193,2026-08-14T12:45:00.970097+00:00,friend,1,1,73625,none,4518,42,1,glm-5.3
194,2026-08-14T12:45:03.321871+00:00,friend,1,1,11489,none,264,248,0,glm-5.3
195,2026-08-14T12:45:04.188041+00:00,friend,0,0,5,no_response,0,0,0,
196,2026-08-14T12:45:04.206901+00:00,friend,0,0,3,no_response,0,0,0,
197,2026-08-14T12:45:04.214025+00:00,friend,0,0,3,no_response,0,0,0,
198,2026-08-14T12:45:04.220142+00:00,friend,0,0,2,no_response,0,0,0,
199,2026-08-14T12:45:04.225794+00:00,friend,0,0,2,no_response,0,0,0,
200,2026-08-14T12:45:04.232772+00:00,friend,0,0,3,no_response,0,0,0,
201,2026-08-14T12:45:04.254444+00:00,friend,0,0,8,no_response,0,0,0,
202,2026-08-14T12:45:04.279397+00:00,friend,0,0,4,no_response,0,0,0,
203,2026-08-14T12:45:04.288017+00:00,friend,0,0,4,no_response,0,0,0,
204,2026-08-14T12:45:04.297134+00:00,friend,0,0,3,no_response,0,0,0,
205,2026-08-14T12:45:04.304960+00:00,friend,0,0,4,no_response,0,0,0,
206,2026-08-14T12:45:04.314096+00:00,friend,0,0,3,no_response,0,0,0,
207,2026-08-14T12:45:04.859717+00:00,friend,0,0,3,no_response,0,0,0,
208,2026-08-14T12:45:04.883875+00:00,friend,0,0,6,no_response,0,0,0,
209,2026-08-14T12:45:04.891564+00:00,friend,0,0,3,no_response,0,0,0,
210,2026-08-14T12:45:04.899416+00:00,friend,0,0,3,no_response,0,0,0,
211,2026-08-14T12:45:04.909813+00:00,friend,0,0,4,no_response,0,0,0,
212,2026-08-14T12:45:04.917483+00:00,friend,0,0,3,no_response,0,0,0,
213,2026-08-14T12:45:04.936006+00:00,friend,0,0,4,no_response,0,0,0,
214,2026-08-14T12:45:04.954282+00:00,friend,0,0,3,no_response,0,0,0,
215,2026-08-14T12:45:04.959970+00:00,friend,0,0,2,no_response,0,0,0,
216,2026-08-14T12:45:04.965863+00:00,friend,0,0,2,no_response,0,0,0,
217,2026-08-14T12:45:04.972748+00:00,friend,0,0,3,no_response,0,0,0,
218,2026-08-14T12:45:04.981252+00:00,friend,0,0,3,no_response,0,0,0,
219,2026-08-14T12:45:17.966656+00:00,friend,1,1,12889,none,454,170,1,glm-5.3
220,2026-08-14T12:45:22.337689+00:00,friend,1,1,19959,none,1277,1096,0,glm-5.3
221,2026-08-14T12:45:24.367016+00:00,friend,0,0,3,no_response,0,0,0,
222,2026-08-14T12:45:24.378531+00:00,friend,0,0,2,no_response,0,0,0,
223,2026-08-14T12:45:24.384558+00:00,friend,0,0,3,no_response,0,0,0,
224,2026-08-14T12:45:24.390222+00:00,friend,0,0,2,no_response,0,0,0,
225,2026-08-14T12:45:24.395548+00:00,friend,0,0,2,no_response,0,0,0,
226,2026-08-14T12:45:24.401500+00:00,friend,0,0,3,no_response,0,0,0,
227,2026-08-14T12:45:24.413865+00:00,friend,0,0,2,no_response,0,0,0,
228,2026-08-14T12:45:24.655899+00:00,friend,0,0,3,no_response,0,0,0,
229,2026-08-14T12:45:24.669554+00:00,friend,0,0,2,no_response,0,0,0,
230,2026-08-14T12:45:24.676250+00:00,friend,0,0,3,no_response,0,0,0,
231,2026-08-14T12:45:24.682131+00:00,friend,0,0,2,no_response,0,0,0,
232,2026-08-14T12:45:24.688011+00:00,friend,0,0,2,no_response,0,0,0,
233,2026-08-14T12:45:24.694713+00:00,friend,0,0,3,no_response,0,0,0,
234,2026-08-14T12:45:24.706442+00:00,friend,0,0,3,no_response,0,0,0,
235,2026-08-14T12:45:24.721491+00:00,friend,0,0,3,no_response,0,0,0,
236,2026-08-14T12:45:24.727483+00:00,friend,0,0,2,no_response,0,0,0,
237,2026-08-14T12:45:24.735355+00:00,friend,0,0,2,no_response,0,0,0,
238,2026-08-14T12:45:24.740517+00:00,friend,0,0,2,no_response,0,0,0,
239,2026-08-14T12:45:24.745956+00:00,friend,0,0,2,no_response,0,0,0,
240,2026-08-14T12:45:36.011198+00:00,friend,1,1,39999,none,2023,16,1,glm-5.3
241,2026-08-14T12:45:38.519929+00:00,friend,1,1,34084,none,1678,0,0,glm-5.3
242,2026-08-14T12:45:51.345081+00:00,friend,1,1,11412,none,127,0,0,glm-5.3
243,2026-08-14T12:46:00.739433+00:00,friend,1,1,35536,none,2699,30,1,glm-5.3
244,2026-08-14T12:46:00.944674+00:00,friend,0,0,12,no_response,0,0,0,
245,2026-08-14T12:46:00.955744+00:00,friend,0,0,4,no_response,0,0,0,
246,2026-08-14T12:46:00.967147+00:00,friend,0,0,5,no_response,0,0,0,
247,2026-08-14T12:46:00.984347+00:00,friend,0,0,10,no_response,0,0,0,
248,2026-08-14T12:46:00.996351+00:00,friend,0,0,5,no_response,0,0,0,
249,2026-08-14T12:46:12.238105+00:00,friend,1,1,10432,none,105,13,1,glm-5.3
250,2026-08-14T12:46:22.017585+00:00,friend,1,1,42072,none,2215,1973,0,glm-5.3
251,2026-08-14T12:46:29.826396+00:00,friend,1,1,17135,none,1223,0,0,glm-5.3
252,2026-08-14T12:46:35.702860+00:00,friend,1,1,44179,none,2510,185,1,glm-5.3
253,2026-08-14T12:46:38.464650+00:00,friend,1,1,7626,none,156,0,0,glm-5.3
254,2026-08-14T12:46:42.477629+00:00,friend,1,1,3310,none,59,0,0,glm-5.3
255,2026-08-14T12:46:46.737467+00:00,friend,1,1,9787,none,388,0,0,glm-5.3
256,2026-08-14T12:46:57.136369+00:00,friend,1,1,8111,none,224,13,1,glm-5.3
257,2026-08-14T12:46:58.435676+00:00,friend,1,1,14326,none,553,0,0,glm-5.3
258,2026-08-14T12:47:12.387601+00:00,friend,1,1,13446,none,419,0,0,glm-5.3
259,2026-08-14T12:47:15.757149+00:00,friend,1,1,18506,none,815,14,1,glm-5.3
260,2026-08-14T12:47:21.198935+00:00,friend,1,1,8653,none,546,0,0,glm-5.3
261,2026-08-14T12:47:25.423757+00:00,friend,1,1,9546,none,178,10,1,glm-5.3
262,2026-08-14T12:47:33.174467+00:00,friend,1,1,11652,none,265,249,0,glm-5.3
263,2026-08-14T12:47:34.289765+00:00,friend,0,0,2,no_response,0,0,0,
264,2026-08-14T12:47:34.301922+00:00,friend,0,0,2,no_response,0,0,0,
265,2026-08-14T12:47:34.307056+00:00,friend,0,0,2,no_response,0,0,0,
266,2026-08-14T12:47:34.313892+00:00,friend,0,0,3,no_response,0,0,0,
267,2026-08-14T12:47:34.320370+00:00,friend,0,0,2,no_response,0,0,0,
268,2026-08-14T12:47:34.326017+00:00,friend,0,0,2,no_response,0,0,0,
269,2026-08-14T12:47:34.347836+00:00,friend,0,0,3,no_response,0,0,0,
270,2026-08-14T12:47:34.363868+00:00,friend,0,0,2,no_response,0,0,0,
271,2026-08-14T12:47:34.369520+00:00,friend,0,0,2,no_response,0,0,0,
272,2026-08-14T12:47:34.375499+00:00,friend,0,0,3,no_response,0,0,0,
273,2026-08-14T12:47:34.381645+00:00,friend,0,0,2,no_response,0,0,0,
274,2026-08-14T12:47:34.387255+00:00,friend,0,0,2,no_response,0,0,0,
275,2026-08-14T12:47:35.029705+00:00,friend,0,0,3,no_response,0,0,0,
276,2026-08-14T12:47:35.041380+00:00,friend,0,0,2,no_response,0,0,0,
