id,ts,severity,category,title,detail,alerted,resolved
1753,1786867989.0234826,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1754,1786868040.5220969,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1755,1786868050.5532792,WARN,key_backoff,friend exhausted failure #2,"{""detail"": ""backoff 4.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1756,1786868083.5535097,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1757,1786868089.9412444,WARN,key_backoff,friend server failure #2,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1758,1786868101.8352642,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1759,1786868101.8545413,critical,api_low_balance,openrouter balance low: $4.07,"openrouter balance at $4.07, below $5.00 threshold. Top up to avoid service interruption.",1,0
1760,1786868109.1176586,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1761,1786868181.015185,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1762,1786868181.8102388,WARN,key_backoff,friend exhausted failure #2,"{""detail"": ""backoff 4.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1763,1786868202.2885535,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1764,1786868208.7838995,WARN,key_backoff,friend server failure #2,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1765,1786868210.8653991,WARN,key_backoff,friend server failure #3,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1766,1786868223.9281728,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1767,1786868251.3742998,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1768,1786868264.1321335,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1769,1786868267.869052,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1770,1786868268.3070574,WARN,key_backoff,friend exhausted failure #2,"{""detail"": ""backoff 4.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1771,1786868322.9653733,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1772,1786868329.30058,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1773,1786868350.6933143,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1774,1786868384.2264433,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1775,1786868684.2261019,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1776,1786868805.1851263,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1777,1786869002.4300013,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1778,1786869002.4631696,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1779,1786869009.1503093,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1780,1786869009.1517446,CRITICAL,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1781,1786869009.151781,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","196 calls / 10,854,562 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.78/24h. Top up routstrd if depleted.",1,0
1782,1786869009.1518037,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1783,1786869902.2527864,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1784,1786869902.2755477,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1785,1786870802.3526587,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1786,1786870802.3997266,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1787,1786870811.4197855,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1788,1786870811.4203181,CRITICAL,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1789,1786870811.4203312,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","196 calls / 10,854,562 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.78/24h. Top up routstrd if depleted.",1,0
1790,1786870811.4203415,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1791,1786871702.006189,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1792,1786871702.0205007,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1793,1786872602.5262496,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1794,1786872602.5428839,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1795,1786872609.289186,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1796,1786872609.289703,CRITICAL,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1797,1786872609.2897172,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","196 calls / 10,854,562 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.78/24h. Top up routstrd if depleted.",1,0
1798,1786872609.2897277,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1799,1786873502.080263,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1800,1786873502.094901,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1801,1786874401.7618744,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1802,1786874401.7930274,critical,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5.00 threshold. Top up to avoid service interruption.",1,0
1803,1786874408.6117647,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1804,1786874408.612141,CRITICAL,api_low_balance,openrouter balance low: $3.74,"openrouter balance at $3.74, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1805,1786874408.6121497,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","196 calls / 10,854,562 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.78/24h. Top up routstrd if depleted.",1,0
1806,1786874408.6121671,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1807,1786874418.3453252,WARN,key_backoff,friend exhausted failure #1,"{""detail"": ""backoff 2.0s; error_type=exhausted"", ""key_name"": ""friend""}",1,0
1808,1786875302.498899,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
