id,ts,provider_used,effective_price,next_best_price,savings_per_1m,estimated_tokens,estimated_savings_usd,is_peak_hour,mode
1582,1787173364.1750937,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,69035,0.0006644618749999977,0,consumer
1583,1787173368.4158833,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,69703,0.0006708913749999977,0,consumer
1584,1787173368.9250162,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,86400,0.0008315999999999972,0,consumer
1585,1787173373.227933,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70386,0.0006774652499999977,0,consumer
1586,1787173377.6934988,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70875,0.0006821718749999976,0,consumer
1587,1787173382.3182724,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,71264,0.0006859159999999977,0,consumer
1588,1787173382.3513563,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,87123,0.0008385588749999971,0,consumer
1589,1787173388.6322627,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,71862,0.0006916717499999976,0,consumer
1590,1787173392.8556552,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,72350,0.0006963687499999976,0,consumer
1591,1787173394.631895,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,89002,0.0008566442499999971,0,consumer
1592,1787173400.7625315,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,89629,0.000862679124999997,0,consumer
1593,1787173411.9827878,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,90227,0.000868434874999997,0,consumer
1594,1787173420.829553,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,77106,0.0007421452499999974,0,consumer
1595,1787173426.6311922,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,77553,0.0007464476249999974,0,consumer
1596,1787173429.174952,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,92711,0.000892343374999997,0,consumer
1597,1787173435.3426325,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,78499,0.0007555528749999973,0,consumer
1598,1787173435.6423807,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,93030,0.0008954137499999969,0,consumer
1599,1787173441.3097496,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,80133,0.0007712801249999974,0,consumer
1600,1787173450.3871186,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,94741,0.0009118821249999969,0,consumer
1601,1787173457.418716,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,95493,0.0009191201249999968,0,consumer
1602,1787173477.7787292,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,98134,0.0009445397499999968,0,consumer
1603,1787173494.7221282,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,8596,8.273649999999973e-05,0,consumer
1604,1787173498.5723789,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,58477,0.0005628411249999981,0,consumer
