id,ts,inter_arrival,consecutive,wait_used,source
1351,1787420723.3390312,61.65175771713257,65,,zai_proxy
1352,1787420801.220556,77.88152480125427,66,,zai_proxy
1353,1787420869.754141,68.53358507156372,67,,zai_proxy
1354,1787420935.448073,65.69393181800842,68,,zai_proxy
1355,1787420998.1237073,62.67563438415527,69,,zai_proxy
1356,1787421066.9878752,68.86416792869568,70,,zai_proxy
1357,1787421067.5282924,0.5404171943664551,71,,zai_proxy
1358,1787421128.6080496,61.07975721359253,72,,zai_proxy
1359,1787421242.1207178,113.51266813278198,73,,zai_proxy
1360,1787421306.7152674,64.5945496559143,74,,zai_proxy
1361,1787421369.0235655,62.308298110961914,75,,zai_proxy
1362,1787421430.0481968,61.02463126182556,76,,zai_proxy
1363,1787421502.4022574,72.35406064987183,77,,zai_proxy
1364,1787421610.9399788,108.53772139549255,78,,zai_proxy
1365,1787421673.0799026,62.13992381095886,79,,zai_proxy
1366,1787421737.4579234,64.37802076339722,80,,zai_proxy
1367,1787421801.6123536,64.15443015098572,81,,zai_proxy
1368,1787421862.6010752,60.9887216091156,82,,zai_proxy
1369,1787421862.6448722,0.04379701614379883,83,,zai_proxy
1370,1787421862.7686927,0.12382054328918457,84,,zai_proxy
1371,1787421862.971025,0.2023322582244873,85,,zai_proxy
1372,1787421925.820133,62.84910798072815,86,,zai_proxy
1373,1787421994.4530025,68.6328694820404,87,,zai_proxy
1374,1787422056.480396,62.02739357948303,88,,zai_proxy
1375,1787422119.3694456,62.8890495300293,89,,zai_proxy
1376,1787422184.014644,64.64519834518433,90,,zai_proxy
1377,1787422249.5962422,65.58159828186035,91,,zai_proxy
1378,1787422344.6437635,95.04752135276794,92,,zai_proxy
1379,1787422418.37324,73.72947645187378,93,,zai_proxy
1380,1787422492.095887,73.72264695167542,94,,zai_proxy
1381,1787422553.517694,61.421807050704956,95,,zai_proxy
1382,1787422617.4348066,63.917112588882446,96,,zai_proxy
1383,1787422678.7086506,61.27384400367737,97,,zai_proxy
1384,1787422743.6373796,64.92872905731201,98,,zai_proxy
1385,1787422821.3850696,77.74768996238708,99,,zai_proxy
1386,1787422886.8515892,65.4665195941925,100,,zai_proxy
1387,1787422963.8822274,77.03063821792603,101,,zai_proxy
1388,1787423032.7171395,68.83491206169128,102,,zai_proxy
1389,1787423121.4630787,88.74593925476074,103,,zai_proxy
1390,1787423185.8789656,64.41588687896729,104,,zai_proxy
1391,1787423185.9092453,0.03027963638305664,105,,zai_proxy
